CONTEST_NAME;DIRECTORY;PUBLICATION(YYYY-MM-DD);MODE_SSB;MODE_CW;CONTEST_YEAR;160M;80M;40M;20M;15M;10M;IMAGE;
"CDF CW 2024";"REF_CW_2024";2024-02-04;0;1;2024;0;1;1;1;1;1;;
"CDF SSB 2024";"REF_SSB_2024";2024-03-05;1;0;2024;0;1;1;1;1;1;"ssb_2024.jpg";
